3,Spectre,2,MonsterJamers,12.5,3,6,5,12,Mythonian,13,7,2,5,16,Flames,3,Bones,14,10,3,4,18,iP JoKeR,14,5,9,13,17
3,Comets,1,Badgey,13.5,6,7,9,18,Thunderbug95,13,9,2,1,19,Hive,4,Chase,14,8,8,10,17,Vino,14,11,8,9,25
3,Wizards,1,KingHaast,12.5,6,4,6,10,Mixtape,13,6,4,11,19,Knights,4,MikeIsMyIke,14,15,3,11,22,OGKrish,12,4,10,3,19
3,Shadow,1,Thunder,14,5,1,7,18,Void,12,4,0,8,9,Puffins,4,Bazed,14,9,4,7,18,Trent,14,7,4,4,16
3,Blizzard,4,Icey6,13,7,5,11,19,Koalemos,14,8,1,9,23,Express,1,Pops,14,3,3,16,11,Manatee,13,4,2,8,16
3,Bulls,5,Moosey,13.5,10,4,6,22,Vandy,14,9,5,7,22,Pandas,0,BlueMars2,12,4,3,9,13,The Law,13,5,2,8,14
3,Wolves,2,uh steve,14,8,1,16,19,Wray,13,3,4,5,12,Sharks,3,GreatGodZeus,14,7,2,8,15,Grizz1y,13,8,3,7,24
3,Ducks,4,Holo,13.5,11,3,7,19,Rolamin,12,5,4,10,15,Spartans,1,Cali,14,5,1,8,19,Jeremazing,13,3,1,5,13
3,Pirates,4,RED,14,11,6,5,25,Tater,14,10,7,11,30,Demolition,1,Bandi,14,6,1,10,21,Script,12,4,4,8,15
3,Outlaws,4,Peytoneli,14,9,5,8,19,Saucey,14,9,5,8,15,Rhinos,1,BadK1dz,14,6,4,5,14,Korluss,14,12,1,8,22
3,Jets,3,Phyrexius,13,8,4,6,15,Rushy,12.5,6,2,8,14,Foxes,2,Kat,14,6,7,4,16,Wubby,12.5,8,4,6,21
3,Eclipse,4,Ech0,14,8,3,11,13,Lil Q,14,9,5,5,17,Hawks,1,Hell,13.5,3,3,5,13,Zair,13,6,3,4,21
3,Aviators,5,Fllassh,14.5,10,6,13,19,Jdubbz,14,12,3,7,25,Lightning,0,Sough,14,6,6,11,22,tehblister,12.5,6,2,8,13
